GID,GO,EVIDENCE
SEN_RS18360,GO:0006567,IEA
SEN_RS18360,GO:0019518,IEA
SEN_RS18360,GO:0005829,IEA
SEN_RS18360,GO:0005737,IEA
SEN_RS18360,GO:0046872,IEA
SEN_RS18360,GO:0016491,IEA
SEN_RS18360,GO:0008270,IEA
SEN_RS18360,GO:0008743,IEA
SEN_RS13365,GO:0006355,IEA
SEN_RS13365,GO:0003700,IEA
SEN_RS12045,GO:0005829,IEA
SEN_RS22385,GO:0005576,IEA
SEN_RS07910,GO:0006541,IEA
SEN_RS07910,GO:0005886,IEA
SEN_RS07910,GO:0016787,IEA
SEN_RS07910,GO:0004359,IEA
SEN_RS11175,GO:0007155,IEA
SEN_RS11175,GO:0009289,IEA
SEN_RS17055,GO:0002143,IEA
SEN_RS17055,GO:0008033,IEA
SEN_RS17055,GO:0005737,IEA
SEN_RS04195,GO:0005886,IEA
SEN_RS04195,GO:0016020,IEA
SEN_RS04195,GO:0050380,IEA
SEN_RS19175,GO:0005996,IEA
SEN_RS19175,GO:0005975,IEA
SEN_RS19175,GO:0019303,IEA
SEN_RS19175,GO:0005829,IEA
SEN_RS19175,GO:0005737,IEA
SEN_RS19175,GO:0048029,IEA
SEN_RS19175,GO:0062193,IEA
SEN_RS19175,GO:0016872,IEA
SEN_RS19175,GO:0016853,IEA
SEN_RS03205,GO:0005829,IEA
SEN_RS04920,GO:0005576,IEA
SEN_RS09220,GO:0005886,IEA
SEN_RS09220,GO:0016020,IEA
SEN_RS04640,GO:0051301,IEA
SEN_RS04640,GO:0030261,IEA
SEN_RS04640,GO:0007049,IEA
SEN_RS04640,GO:0006260,IEA
SEN_RS04640,GO:0007059,IEA
SEN_RS04640,GO:0005829,IEA
SEN_RS04640,GO:0009295,IEA
SEN_RS04640,GO:0005737,IEA
SEN_RS04640,GO:0005509,IEA
SEN_RS21310,GO:0005886,IEA
SEN_RS21310,GO:0005215,IEA
SEN_RS14335,GO:0035429,IEA
SEN_RS14335,GO:0005886,IEA
SEN_RS14335,GO:0016020,IEA
SEN_RS14335,GO:0015128,IEA
SEN_RS14335,GO:0005215,IEA
SEN_RS13370,GO:0006865,IEA
SEN_RS13370,GO:0016020,IEA
SEN_RS13370,GO:0005886,IEA
SEN_RS13370,GO:0005215,IEA
SEN_RS12050,GO:0016020,IEA
SEN_RS12050,GO:0005886,IEA
SEN_RS19855,GO:0006355,IEA
SEN_RS19855,GO:0005829,IEA
SEN_RS19855,GO:0003700,IEA
SEN_RS19855,GO:0003677,IEA
SEN_RS22020,GO:0005829,IEA
SEN_RS22020,GO:0016491,IEA
SEN_RS22020,GO:0008874,IEA
SEN_RS00905,GO:0007155,IEA
SEN_RS00905,GO:0005576,IEA
SEN_RS00905,GO:0009289,IEA
SEN_RS05390,GO:0071973,IEA
SEN_RS05390,GO:0097588,IEA
SEN_RS05390,GO:0030288,IEA
SEN_RS05390,GO:0009288,IEA
SEN_RS05390,GO:0009425,IEA
SEN_RS05390,GO:0003774,IEA
SEN_RS05390,GO:0005198,IEA
SEN_RS05615,GO:0005886,IEA
SEN_RS03750,GO:0005886,IEA
SEN_RS03750,GO:0005524,IEA
SEN_RS03750,GO:0000166,IEA
SEN_RS08225,GO:0005829,IEA
SEN_RS08225,GO:0016491,IEA
SEN_RS06935,GO:0005829,IEA
SEN_RS06935,GO:0016887,IEA
